Норматив,Время (мин),Время (час),,,,,,,,,,,,,,,,,,
Киров,Знак,Энтузиастов д.62,64,окт. 2025,30,31.10.2025,,ГИС ЖКХ,Не состоялось,,Азбука,Тариф,1,"0,42",27,9,3,,Шубина Н.В.,
Киров,Знак,Энтузиастов д.64,64,окт. 2025,30,31.10.2025,,ГИС ЖКХ,Не состоялось,,Азбука,Тариф,1,"0,42",27,9,3,,Шубина Н.В.,
Киров,Точки,Профсоюзная д.56,49,нояб. 2025,30,24.12.2025,,ГИС ЖКХ,Не состоялось,,Азбука,Тариф,1,"0,42",20,7,4,,Шубина Н.В.,
Киров,Метроград,Краснополянская д.5,395,дек. 2025,22,30.12.2025,21.01.2026,ГИС ЖКХ,Завершено,,Азбука,Тариф,3,"0,42",165,18,1,,Шубина Н.В.,"Тариф, ДУ, Индекс, полотяхи"
Киров,Точки,Тургенева д. 8,85,дек. 2025,30,07.01.2026,06.02.2026,ГИС ЖКХ,Не состоялось,,Азбука,Тариф,1,"0,42",35,12,3,,Шубина Н.В.,"Тариф, ДУ, Индекс"
Киров,Знак,Дмитрия Козулева д.1,98,дек. 2025,30,09.01.2026,08.02.2026,ГИС ЖКХ,Не состоялось,,Собственник,Шлагбаум,1,"0,25",25,8,4,,Шубина Н.В.,"Шлагбаум, СД"
Киров,Знак,Козулева д. 2 к.4,145,дек. 2025,45,28.01.2026,14.03.2026,ДОД,Завершено,№20251200107340 от 29.01.2026,Азбука,ДОД,1,"0,75",109,36,1,,Шубина Н.В.,"выбор УК, тариф"
Киров,Знак,Козулева д. 9 к.1,169,янв. 2026,45,25.01.2026,06.03.2026,ГИС ЖКХ,Завершено,№1 от 01.04.2025,Азбука,СД,1,"0,17",28,9,5,,Шубина Н.В.,Совет дома
Киров,Зарядное,4-й Пятилетки д.84,166,янв. 2026,45,26.01.2026,05.03.2026,ДОД,Завершено,№1 от 06.03.2026,Азбука,ДОД,1,"0,75",125,42,1,,Шубина Н.В.,"выбор УК, тариф"
Киров,Знак,Козулева д. 2 к.2,117,янв. 2026,45,29.01.2026,12.03.2026,ДОД,Завершено,№20260100107417 от 13.03.2026,Азбука,ДОД,1,"0,75",88,29,2,,Шубина Н.В.,"выбор УК, тариф"
Киров,Метроград,Садаковская д. 8,54,янв. 2026,30,29.01.2026,28.02.2026,Очно-заочное,Завершено,,Азбука,Тариф,1,"0,42",23,8,4,,Шубина Н.В.,"Тариф, ДУ, Индекс"
Киров,Знак,Дмитрия Козулева д.6,100,февр. 2026,30,06.03.2026,,ГИС ЖКХ,Не состоялось,отмена собственниками,Азбука,СД,1,"0,17",17,6,5,,Шубина Н.В.,СД
Киров,Знак,Козулева д. 9 к.2,175,февр. 2026,45,19.02.2026,16.04.2026,ДОД,Завершено,,Азбука,ДОД,1,"0,75",131,44,1,,Шубина Н.В.,"выбор УК, тариф"
Киров,Знак,Козулева д. 2 к.3,70,февр. 2026,45,24.02.2026,23.04.2026,ДОД,Завершено,риск срыва осс,Азбука,ДОД,1,"0,75",53,18,3,,Шубина Н.В.,"выбор УК, тариф"
Киров,Знак,Дмитрия Козулева д.3 к.1,93,мар. 2026,30,31.03.2026,,ГИС ЖКХ,Не состоялось,,Собственник,Тариф,1,"0,42",39,13,2,,Шубина Н.В.,"Тариф, ДУ, кондиц"
Киров,Точки,Профсоюзная д.56,49,мар. 2026,30,31.03.2026,,ГИС ЖКХ,Не состоялось, ,Азбука,Тариф,1,"0,42",20,7,4,,Шубина Н.В.,"Письмо Минималка, Тариф, ДУ, Индекс"
Киров,Зарядное,4-й Пятилетки д.86,159,мар. 2026,45,05.03.2026,30.04.2026,ДОД,Завершено,,Азбука,ДОД,1,"0,75",119,40,1,,Шубина Н.В.,"выбор УК, тариф"
Киров,Знак,Дмитрия Козулева д. 1,98,апр. 2026,45,16.05.2026,,ГИС ЖКХ,Проведение,№1 от 29.05.2025,Азбука,Шлагбаум,1,"0,25",25,8,6,,Шубина Н.В.,Платный шлагбаум
Киров,Точки,Калинин д. 9,91,апр. 2026,45,16.05.2026,,ГИС ЖКХ,Подготовка,,Азбука,"СД, ФКР",1,"0,33",30,10,4,,Шубина Н.В.,"СД, ФКР"
Киров,Знак,Дмитрия Козулева д. 5,162,апр. 2026,45,22.05.2026,,ГИС ЖКХ,Проведение,,Азбука,Шлагбаум,1,"0,25",41,14,3,,Шубина Н.В.,Платный шлагбаум
Киров,Метроград,Садаковская д. 8А,54,апр. 2026,60,16.06.2026,01.06.2026,ГИС ЖКХ,Проведение,,Азбука,"ДУ, Индекс",1,"0,58",32,11,6,,Шубина Н.В.,"ДУ, Индекс"
Киров,Знак,Дмитрия Козулева д. 9,159,апр. 2026,55,15.06.2026,,ГИС ЖКХ,Проведение,№1 от 16.01.2025,Азбука,"СД, Иное",1,"0,42",66,22,2,,Шубина Н.В.,"СД,водный аттракцион"
Киров,Метроград,Краснополянская д.14,96,апр. 2026,45,08.06.2026,,ГИС ЖКХ,Проведение,,Азбука,"Тариф, ДУ, Индекс",1,"1,00",96,32,1,,Турундаева М.,"Письмо Минималка, Тариф, ДУ, Индекс"
Киров,Знак,Капитана Дорофеева д.26,512,апр. 2026,57,23.06.2026,,Очно-заочное,Проведение,,Азбука,"Тариф, ДУ, Индекс",2,"1,00",512,85,1,Не успеваем по сроку ОСС,Турундаева М.,"Письмо Минималка, Тариф, ДУ, Индекс"
Киров,Знак,Козулева д.2 к.5,154,мая 2026,45,15.06.2026,,ГИС ЖКХ,Подготовка,,Азбука,СД,1,"0,17",26,9,5,,Турундаева М.,СД
Киров,Метроград,Краснополянская д.10,96,мая 2026,30,31.05.2026,,ГИС ЖКХ,,,Азбука,"Тариф, ДУ, Индекс",1,"1,00",96,32,1,Не успеваем по сроку ОСС,Турундаева М.,"Тариф, ДУ, Индекс"
